-----------  Configuration Arguments -----------
adam_epsilon: 1e-06
batch_size: 16
device: gpu
learning_rate: 4e-05
logging_steps: 10
lr_scheduler: 1
max_seq_length: 128
max_steps: -1
model_name_or_path: /home/xianglingyang/pretrained_models/paddle/squeezebert
model_type: squeezebert
num_train_epochs: 5
output_dir: ./tmp/QQP/
save_steps: 2000
seed: 5
task_name: QQP
warmup_proportion: 0
warmup_steps: 0
weight_decay: 0.0
------------------------------------------------
2021-08-19 15:45:45,295-INFO: unique_endpoints {''}
2021-08-19 15:45:46,298-INFO: unique_endpoints {''}
W0819 15:45:46.408764 31020 device_context.cc:404] Please NOTE: device: 0, GPU Compute Capability: 5.2, Driver API Version: 10.1, Runtime API Version: 10.1
W0819 15:45:46.413388 31020 device_context.cc:422] device: 0, cuDNN Version: 7.6.
[32m[2021-08-19 15:45:50,572] [    INFO][0m - Weights of SqueezeBertForSequenceClassification not initialized from pretrained model: ['classifier.weight', 'classifier.bias'][0m
global step 750/113705, epoch: 0, batch: 749, rank_id: 0, loss: 0.258613, lr: 0.0000397362, speed: 4.7482 step/s
global step 760/113705, epoch: 0, batch: 759, rank_id: 0, loss: 0.628904, lr: 0.0000397326, speed: 4.3977 step/s
global step 770/113705, epoch: 0, batch: 769, rank_id: 0, loss: 0.557717, lr: 0.0000397291, speed: 4.2434 step/s
global step 780/113705, epoch: 0, batch: 779, rank_id: 0, loss: 0.289751, lr: 0.0000397256, speed: 4.5908 step/s
global step 790/113705, epoch: 0, batch: 789, rank_id: 0, loss: 0.440604, lr: 0.0000397221, speed: 4.4601 step/s
global step 800/113705, epoch: 0, batch: 799, rank_id: 0, loss: 0.432211, lr: 0.0000397186, speed: 4.7385 step/s
global step 810/113705, epoch: 0, batch: 809, rank_id: 0, loss: 0.257598, lr: 0.0000397151, speed: 4.3121 step/s
global step 820/113705, epoch: 0, batch: 819, rank_id: 0, loss: 0.525601, lr: 0.0000397115, speed: 4.4135 step/s
global step 830/113705, epoch: 0, batch: 829, rank_id: 0, loss: 0.497065, lr: 0.0000397080, speed: 4.5422 step/s
global step 840/113705, epoch: 0, batch: 839, rank_id: 0, loss: 0.407553, lr: 0.0000397045, speed: 4.5961 step/s
global step 850/113705, epoch: 0, batch: 849, rank_id: 0, loss: 0.232672, lr: 0.0000397010, speed: 4.7426 step/s
global step 860/113705, epoch: 0, batch: 859, rank_id: 0, loss: 0.204607, lr: 0.0000396975, speed: 4.6670 step/s
